FECHA,DEPARTAMENTO,MUNICIPIO,TIPO_DE_EVENTO,DIVIPOLA,FALLECIDOS,HERIDOS,DESAPARECIDOS,AFECTADOS,FAMILIAS,VIVIENDAS_DESTRUIDAS,VIVIENDAS_AVERIADAS,LATITUD,LONGITUD
2018-01-10,CUNDINAMARCA,"BOGOTA, D.C.",GRANIZADA,11001,0,0,0,21,8,0,8,4.316107698,-74.1810727
2018-01-10,CALDAS,MANIZALES,DESLIZAMIENTO,17001,0,0,0,0,0,0,0,5.08343301,-75.50727881
2018-01-10,CUNDINAMARCA,ARBELAEZ,INUNDACION,25053,0,0,0,20,4,0,3,4.232786985,-74.39576291
2018-01-10,CUNDINAMARCA,FOMEQUE,INCENDIO ESTRUCTURAL,25279,1,0,0,1,1,1,0,4.528568462,-73.79705267
2018-01-10,CUNDINAMARCA,VILLAPINZON,VENDAVAL,25873,0,0,0,25,5,0,5,5.227298709,-73.57725921
2018-01-10,CUNDINAMARCA,VILLETA,INUNDACION,25875,0,0,0,14,1,0,1,5.011670402,-74.48764746
2018-01-10,NARIÑO,COLON,DESLIZAMIENTO,52203,0,0,0,20,4,0,4,1.636334379,-77.0473156
2018-01-10,NORTE DE SANTANDER,SARDINATA,DESLIZAMIENTO,54720,0,0,0,0,0,0,0,8.215080767,-72.79580961
2018-01-10,VICHADA,PUERTO CARREÑO,INCENDIO FORESTAL,99001,0,0,0,0,0,0,0,5.836529669,-68.14122234
2018-01-11,CALDAS,PENSILVANIA,INCENDIO ESTRUCTURAL,17541,0,0,0,5,1,1,0,5.407187836,-75.16683996
2018-01-11,CASANARE,TAMARA,INCENDIO FORESTAL,85400,0,0,0,0,0,0,0,5.878927424,-72.20067822
2018-01-11,CESAR,VALLEDUPAR,OTROS,20001,1,0,0,1,0,0,0,10.21890277,-73.45784764
2018-01-11,LA GUAJIRA,FONSECA,INCENDIO FORESTAL,44279,0,0,0,0,0,0,0,10.8283716,-72.8018178
2018-01-11,PUTUMAYO,PUERTO ASIS,INUNDACION,86568,0,0,0,0,0,0,0,0.433884539,-76.52158203
2018-01-11,RISARALDA,DOSQUEBRADAS,DESLIZAMIENTO,66170,0,1,0,1,0,0,0,4.842021144,-75.66993655
2018-01-11,RISARALDA,DOSQUEBRADAS,INCENDIO ESTRUCTURAL,66170,1,2,0,3,1,1,0,4.842021144,-75.66993655
2018-01-11,TOLIMA,CHAPARRAL,DESLIZAMIENTO,73168,0,0,0,6,2,0,1,3.743693084,-75.58986634
2018-01-11,TOLIMA,CHAPARRAL,INUNDACION,73168,0,0,0,10,2,0,2,3.743693084,-75.58986634
2018-01-12,CALDAS,SUPIA,INUNDACION,17777,0,0,0,45,9,0,9,5.45295802,-75.64035705
2018-01-12,CALDAS,MANIZALES,INCENDIO ESTRUCTURAL,17001,0,0,0,5,1,1,0,5.08343301,-75.50727881
2018-01-12,CHOCO,CARMEN DEL DARIEN,INUNDACION,27150,0,0,0,0,0,0,0,7.033646541,-76.97423016
2018-01-13,BOLIVAR,TIQUISIO,INCENDIO ESTRUCTURAL,13810,0,0,0,30,6,6,0,8.492345176,-74.29676139
2018-01-13,CASANARE,PAZ DE ARIPORO,INCENDIO FORESTAL,85250,0,0,0,0,0,0,0,5.779915281,-70.86947037
2018-01-13,NARIÑO,MALLAMA,OTROS,52435,0,0,0,0,0,0,0,1.155947016,-77.84664646
2018-01-13,TOLIMA,HERVEO,DESLIZAMIENTO,73347,0,0,0,0,0,0,0,5.068553783,-75.24322959
2018-01-13,TOLIMA,IBAGUE,DESLIZAMIENTO,73001,0,0,0,5,1,0,1,4.451921427,-75.252591
2018-01-13,TOLIMA,PALOCABILDO,DESLIZAMIENTO,73520,0,0,0,13,2,0,2,5.094035737,-75.0184505
2018-01-13,TOLIMA,SAN ANTONIO,DESLIZAMIENTO,73675,0,0,0,0,0,0,0,3.926088268,-75.50991004
2018-01-13,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,76001,0,0,0,0,0,0,0,3.399043723,-76.57649259
2018-01-13,VALLE DEL CAUCA,ZARZAL,EXPLOSION,76895,1,3,0,4,0,0,0,4.35359875,-76.05065336
2018-01-14,BOYACA,CHIQUIZA,OTROS,15232,1,0,0,1,0,0,0,5.643075648,-73.44562391
2018-01-14,META,PUERTO LOPEZ,INCENDIO FORESTAL,50573,0,0,0,0,0,0,0,4.014298921,-72.64570499
2018-01-14,TOLIMA,VENADILLO,VENDAVAL,73861,0,0,0,50,10,0,10,4.70988172,-74.92089886
2018-01-14,ATLANTICO,BARRANQUILLA,VENDAVAL,8001,0,0,0,0,0,0,0,10.98152051,-74.82771544
2018-01-14,BOYACA,ALMEIDA,INCENDIO FORESTAL,15022,0,0,0,0,0,0,0,4.954825081,-73.38813425
2018-01-14,BOYACA,MUZO,CRECIENTE SUBITA,15480,0,0,0,0,0,0,0,5.539429272,-74.11177139
2018-01-14,CAQUETA,SAN VICENTE DEL CAGUAN,INCENDIO ESTRUCTURAL,18753,0,2,0,15,3,0,3,1.308465061,-74.19746971
2018-01-14,CASANARE,YOPAL,INCENDIO FORESTAL,85001,0,0,0,0,0,0,0,5.242744761,-72.25802857
2018-01-14,SANTANDER,MOGOTES,INCENDIO ESTRUCTURAL,68464,0,0,0,1,1,1,0,6.492532315,-72.95834772
2018-01-14,VALLE DEL CAUCA,JAMUNDI,ACCIDENTE,76364,0,0,1,1,0,0,0,3.213892389,-76.62760418
2018-01-15,CASANARE,YOPAL,INCENDIO FORESTAL,85001,0,0,0,0,0,0,0,5.242744761,-72.25802857
2018-01-15,CASANARE,YOPAL,INCENDIO FORESTAL,85001,0,0,0,0,0,0,0,5.242744761,-72.25802857
2018-01-15,ATLANTICO,MALAMBO,INCENDIO FORESTAL,8433,0,0,0,0,0,0,0,10.84828864,-74.80617555
2018-01-15,CAQUETA,VALPARAISO,VENDAVAL,18860,0,0,0,15,3,0,3,1.07534915,-75.73779004
2018-01-15,CASANARE,AGUAZUL,INCENDIO FORESTAL,85010,0,0,0,0,0,0,0,5.126121886,-72.54821017
2018-01-15,CASANARE,VILLANUEVA,INCENDIO FORESTAL,85440,0,0,0,0,0,0,0,4.528307719,-72.82314281
2018-01-15,CAUCA,MERCADERES,DESLIZAMIENTO,19450,0,0,0,0,0,0,0,1.793825164,-77.18060381
2018-01-15,CUNDINAMARCA,CAQUEZA,COLAPSO,25151,9,8,0,17,0,0,0,4.402259457,-73.94482435
2018-01-15,CUNDINAMARCA,GUAYABETAL,COLAPSO,25335,9,8,0,17,0,0,0,4.231875945,-73.83543981
2018-01-15,GUAINIA,INIRIDA,INCENDIO FORESTAL,94001,0,0,0,0,0,0,0,3.516363079,-68.00834728
2018-01-15,MAGDALENA,NUEVA GRANADA,INCENDIO FORESTAL,47460,0,0,0,0,0,0,0,9.735998134,-74.32840222
2018-01-15,MAGDALENA,SITIONUEVO,INCENDIO FORESTAL,47745,0,0,0,0,0,0,0,10.89027616,-74.62966038
2018-01-15,SUCRE,MAJAGUAL,INUNDACION,70429,0,0,0,0,0,0,0,8.546148134,-74.71037883
2018-01-15,TOLIMA,MARIQUITA,VENDAVAL,73443,0,0,0,0,0,0,0,5.235322593,-74.90668089
2018-01-16,BOYACA,SUTATENZA,INCENDIO FORESTAL,15778,0,0,0,0,0,0,0,5.030711335,-73.41224401
2018-01-16,CUNDINAMARCA,QUIPILE,DESLIZAMIENTO,25596,0,0,0,0,0,0,0,4.726907976,-74.55359926
2018-01-16,RISARALDA,SANTA ROSA DE CABAL,INCENDIO ESTRUCTURAL,66682,0,0,0,5,1,0,1,4.833789828,-75.54950174
2018-01-17,CUNDINAMARCA,LA MESA,INUNDACION,25386,0,0,0,20,4,0,4,4.650773167,-74.47321717
2018-01-17,LA GUAJIRA,HATONUEVO,INCENDIO FORESTAL,44378,0,0,0,0,0,0,0,11.09905582,-72.73842427
2018-01-17,SANTANDER,BOLIVAR,COLAPSO,68101,0,0,0,15,3,0,3,6.181715586,-73.92065703
2018-01-17,SUCRE,GUARANDA,INUNDACION,70265,0,0,0,0,0,0,0,8.337828523,-74.68734926
2018-01-18,CUNDINAMARCA,LA MESA,DESLIZAMIENTO,25386,0,0,0,18,1,0,1,4.650773167,-74.47321717
2018-01-18,CUNDINAMARCA,"BOGOTA, D.C.",EXPLOSION,11001,0,0,0,5,1,0,1,4.316107698,-74.1810727
2018-01-18,RISARALDA,SANTA ROSA DE CABAL,INCENDIO ESTRUCTURAL,66682,0,4,0,25,6,2,1,4.833789828,-75.54950174
2018-01-18,BOLIVAR,CARTAGENA,COLAPSO,13001,0,0,0,0,0,0,0,10.46343362,-75.45889915
2018-01-18,BOLIVAR,CARTAGENA,ACCIDENTE,13001,0,0,0,0,0,0,0,10.46343362,-75.45889915
2018-01-18,CASANARE,NUNCHIA,INCENDIO FORESTAL,85225,0,0,0,0,0,0,0,5.529181235,-72.09251937
2018-01-18,CHOCO,UNGUIA,CRECIENTE SUBITA,27800,0,0,0,0,0,0,0,8.117281079,-77.10372723
2018-01-18,HUILA,PITALITO,VENDAVAL,41551,0,0,0,75,15,0,15,1.848217185,-76.05217643
2018-01-18,LA GUAJIRA,DIBULLA,INCENDIO FORESTAL,44090,0,0,0,0,0,0,0,11.09029715,-73.43568788
2018-01-18,SANTANDER,FLORIAN,DESLIZAMIENTO,68271,0,0,0,0,0,0,0,5.801106291,-73.95524931
2018-01-18,TOLIMA,VILLARRICA,DESLIZAMIENTO,73873,0,0,0,0,0,0,0,3.854384097,-74.61896623
2018-01-19,HUILA,YAGUARA,INUNDACION,41885,0,0,0,0,0,0,0,2.646563339,-75.51592645
2018-01-20,SANTANDER,SABANA DE TORRES,INCENDIO FORESTAL,68655,0,0,0,0,0,0,0,7.4065422,-73.57131807
2018-01-20,CALDAS,MANIZALES,COLAPSO,17001,0,0,0,0,0,0,0,5.08343301,-75.50727881
2018-01-20,NARIÑO,MALLAMA,DESLIZAMIENTO,52435,13,0,0,13,0,0,0,1.155947016,-77.84664646
2018-01-20,CASANARE,AGUAZUL,INCENDIO FORESTAL,85010,0,0,0,0,0,0,0,5.126121886,-72.54821017
2018-01-20,ANTIOQUIA,MEDELLIN,INCENDIO ESTRUCTURAL,5001,0,0,0,25,5,5,0,6.257590259,-75.61103107
2018-01-20,CUNDINAMARCA,TOCANCIPA,INCENDIO ESTRUCTURAL,25817,0,0,0,2,1,1,0,4.968852913,-73.92887021
2018-01-20,RISARALDA,LA CELIA,COLAPSO,66383,0,0,0,11,3,1,2,4.988127679,-76.00822678
2018-01-20,TOLIMA,LIBANO,ACCIDENTE MINERO,73411,1,2,0,3,0,0,0,4.877936755,-75.04763076
2018-01-21,SANTANDER,LEBRIJA,INCENDIO FORESTAL,68406,0,0,0,0,0,0,0,7.204060063,-73.29138097
2018-01-21,CASANARE,YOPAL,INCENDIO FORESTAL,85001,0,0,0,0,0,0,0,5.242744761,-72.25802857
2018-01-21,BOYACA,CHITA,INCENDIO FORESTAL,15183,0,0,0,0,0,0,0,6.091468485,-72.43903174
2018-01-21,BOYACA,MONIQUIRA,INCENDIO FORESTAL,15469,0,0,0,0,0,0,0,5.863370485,-73.55852538
2018-01-21,CUNDINAMARCA,LA VEGA,INCENDIO FORESTAL,25402,0,0,0,0,0,0,0,4.978619842,-74.33936061
